Factor0,individual importance,individual lower quartile,individual median,individual std,individual upper quartile,individual whiskerhi,individual whiskerlo,total importance,total lower quartile,total median,total std,total upper quartile,total whiskerhi,total whiskerlo
0,0.08198576000873972,0.02711187220271173,0.08281944125156168,0.05699761823265338,0.1147320452998673,0.22645796992281203,0.0054189210745460535,0.08198576000873972,0.02711187220271173,0.08281944125156168,0.05699761823265338,0.1147320452998673,0.22645796992281203,0.0054189210745460535
1,0.028139091945201866,0.01030949637226361,0.01921633446856201,0.023418019104134612,0.0454878210812779,0.07900567386200157,0.001269328458748454,0.028139091945201866,0.01030949637226361,0.01921633446856201,0.023418019104134612,0.0454878210812779,0.07900567386200157,0.001269328458748454
2,0.00412073504519718,0.0016883319144128245,0.0027488542136220964,0.0028689359177872663,0.006826841105839958,0.009236895424142006,0.00036085398284299943,0.00412073504519718,0.0016883319144128245,0.0027488542136220964,0.0028689359177872663,0.006826841105839958,0.009236895424142006,0.00036085398284299943
3,0.017597149895530143,0.0043861015664120526,0.014678528591104589,0.01382294923378162,0.029847907912631748,0.049560128920862694,0.00016638254230000538,0.017597149895530143,0.0043861015664120526,0.014678528591104589,0.01382294923378162,0.029847907912631748,0.049560128920862694,0.00016638254230000538
4,0.003053523778852076,0.0007661970725064205,0.001989733480691036,0.0032324580998965733,0.003654055183095202,0.00754145438983878,0.00021210502904941034,0.003053523778852076,0.0007661970725064205,0.001989733480691036,0.0032324580998965733,0.003654055183095202,0.00754145438983878,0.00021210502904941034
5,0.008810761083101797,0.0016302914004505799,0.004543693512877983,0.01117171287192139,0.010255564271858659,0.014784811443949804,0.00015963467171884696,0.008810761083101797,0.0016302914004505799,0.004543693512877983,0.01117171287192139,0.010255564271858659,0.014784811443949804,0.00015963467171884696
6,0.024148146329954386,0.0034984274362057253,0.021001620459281074,0.02354032082296869,0.025029661645139194,0.025240757834391857,0.0013191842779824955,0.024148146329954386,0.0034984274362057253,0.021001620459281074,0.02354032082296869,0.025029661645139194,0.025240757834391857,0.0013191842779824955
7,0.0030700556030666677,0.000732001377505529,0.001973661687832621,0.0043480728290782224,0.0028892579283441573,0.00424637245942018,0.000255647180760918,0.0030700556030666677,0.000732001377505529,0.001973661687832621,0.0043480728290782224,0.0028892579283441573,0.00424637245942018,0.000255647180760918
8,0.006647237558375491,0.0014872031264148104,0.00208825218683787,0.013041866287708394,0.005574614375842776,0.0069406309193968535,0.00020168446210929822,0.006647237558375491,0.0014872031264148104,0.00208825218683787,0.013041866287708394,0.005574614375842776,0.0069406309193968535,0.00020168446210929822
9,0.002076651343776205,0.0003159968020457819,0.0013117895688244626,0.0033829658184607782,0.00182513972884794,0.003187544552172378,0.00014647231999714616,0.002076651343776205,0.0003159968020457819,0.0013117895688244626,0.0033829658184607782,0.00182513972884794,0.003187544552172378,0.00014647231999714616
10,0.0012424371101243301,1.409782912356743e-05,2.9234040373936628e-05,0.0031453276975702796,0.0008493221443853206,0.0013539285084156623,1.8864784407587128e-09,0.0012424371101243301,1.409782912356743e-05,2.9234040373936628e-05,0.0031453276975702796,0.0008493221443853206,0.0013539285084156623,1.8864784407587128e-09
11,0.003098830631796864,5.661905780042602e-05,0.00018445593946727837,0.007945755580008906,0.001872830350271046,0.004036178074536716,2.0868659188320048e-07,0.003098830631796864,5.661905780042602e-05,0.00018445593946727837,0.007945755580008906,0.001872830350271046,0.004036178074536716,2.0868659188320048e-07
12,0.004623566842317347,0.00020061696105881083,0.00031669379155162313,0.010917516842665497,0.001286103710295499,0.0018540737578979082,8.098193487228569e-09,0.004623566842317347,0.00020061696105881083,0.00031669379155162313,0.010917516842665497,0.001286103710295499,0.0018540737578979082,8.098193487228569e-09
